Liquid,Specific Gravity,Color,
151-Proof Rum,0.94,Light Amber,
Plymouth Gin,0.94,Clear,
Rum,0.94,Amber,
Tequila,0.94,Amber,
Whiskey,0.94,Amber,
Spiced Rum,0.96,Amber,
Southern Comfort,0.97,Pale Orange,
Vodka,0.97,Clear,
Tuaca,0.98,Amber,
Green Chartreuse,1.01,Green,
Jagermeister,1.01,Dark Brown,
Grand Marnier,1.03,Pale Orange,
Brandy,1.04,Amber,
Cinnamon Schnapps,1.04,Red,
Cherry Liqueur,1.04,Red,
Coconut Rum,1.04,Clear,
Cointreau,1.04,Clear,
Irish Mist,1.04,Light Amber,
Kummel,1.04,Clear,
Peach Liqueur,1.04,Dark Amber,
Peppermint Schnapps,1.04,Clear,
Sloe Gin,1.04,Dark Red,
Amarula,1.05,"Creamy, Light Brown",
Baileys Irish Cream,1.05,"Creamy, Light Brown",
Midori Melon Liqueur,1.05,Green,
Rock and Rye,1.05,Amber,
Campari,1.06,Bright Red,
Fruit Brandy,1.06,Varies,
Limoncello,1.06,Yellow,
Peach Schnapps,1.06,Pale Orange,
Yellow Chartreuse,1.06,Yellow,
Benedictine,1.07,Pale Amber,
Hpnotiq,1.07,Bright Blue,
Amaretto Di Saronno,1.08,Dark Amber,
Frangelico,1.08,Pale Amber,
Orange Curaçao,1.08,Orange,
Root Beer Schnapps,1.08,Brown,
Apricot Liqueur,1.09,Bright Amber to Orange,
Sambuca,1.09,Varies,
Tia Maria,1.09,Brown,
Triple Sec,1.09,Clear,
Blackberry Liqueur,1.1,Dark Purple,
Blue Curaçao,1.1,Blue,
Maraschino Liqueur,1.1,Clear,
Banana Liqueur,1.12,Yellow,
Galliano,1.12,Golden Yellow,
Creme de Menthe,1.12,Green,
Strawberry Liqueur,1.12,Bright Red,
Chambord,1.13,Purple,
Parfait Amour,1.13,Violet,
Coffee Liqueur,1.14,Brown,
Creme de Cacao,1.14,Brown,
Kahlua,1.16,Dark Brown,
Creme de Almond,1.16,Amber,
Creme de Noyaux,1.16,Bright Red,
Anisette,1.17,Clear,
Creme de Banane,1.18,Bright Yellow,
Creme de Cassis,1.18,Dark Purple,
Grenadine,1.18,Bright Red,
Butterscotch Schnapps,1.22,Golden Brown,
